epoch[s],latitude[deg],logitude[deg],speed[m/s]
1699208130.22,32.870143,-117.214285,6.83
1699208130.27,32.870137,-117.214287,7.23
1699208130.32,32.870137,-117.214287,7.23
1699208130.38,32.870128,-117.214285,7.77
1699208130.43,32.870128,-117.214285,7.77
1699208130.48,32.870122,-117.214285,8.02
1699208130.54,32.870122,-117.214285,8.02
1699208130.59,32.870113,-117.214287,8.47
1699208130.64,32.870113,-117.214287,8.47
1699208130.7,32.870105,-117.214287,8.64
1699208130.75,32.870105,-117.214287,8.64
1699208130.8,32.870097,-117.214287,8.91
1699208130.86,32.870097,-117.214287,8.91
1699208130.91,32.870088,-117.214288,9.05
1699208130.96,32.87008,-117.21429,9.42
1699208131.02,32.87008,-117.21429,9.42
1699208131.07,32.87007,-117.21429,9.66
1699208131.12,32.87007,-117.21429,9.66
1699208131.18,32.870062,-117.214292,10.01
1699208131.23,32.870062,-117.214292,10.01
1699208131.28,32.870052,-117.214293,10.25
1699208131.33,32.870052,-117.214293,10.25
1699208131.39,32.87004,-117.214293,10.74
1699208131.44,32.87004,-117.214293,10.74
1699208131.5,32.87003,-117.214293,10.93
1699208131.55,32.87003,-117.214293,10.93
1699208131.6,32.87002,-117.214295,11.14
1699208131.66,32.87002,-117.214295,11.14
1699208131.71,32.870008,-117.214295,11.41
1699208131.76,32.869998,-117.214297,11.66
1699208131.82,32.869998,-117.214297,11.66
1699208131.87,32.869985,-117.214298,12.06
1699208131.92,32.869985,-117.214298,12.06
1699208131.98,32.869973,-117.214298,12.44
1699208132.03,32.869973,-117.214298,12.44
1699208132.08,32.869958,-117.214297,13.01
1699208132.14,32.869958,-117.214297,13.01
1699208132.19,32.869945,-117.214297,13.57
1699208132.24,32.869945,-117.214297,13.57
1699208132.3,32.869932,-117.214297,13.83
1699208132.35,32.869932,-117.214297,13.83
1699208132.4,32.869917,-117.214297,14.36
1699208132.46,32.869917,-117.214297,14.36
1699208132.51,32.869902,-117.214295,14.88
1699208132.56,32.869902,-117.214295,14.88
1699208132.62,32.869887,-117.214295,15.19
1699208132.67,32.869872,-117.214295,15.76
1699208132.72,32.869872,-117.214295,15.76
1699208132.78,32.869857,-117.214295,15.88
1699208132.83,32.869857,-117.214295,15.88
1699208132.88,32.869842,-117.214295,16.19
1699208132.94,32.869842,-117.214295,16.19
1699208132.99,32.869825,-117.214295,16.52
1699208133.04,32.869825,-117.214295,16.52
1699208133.1,32.869808,-117.214293,16.88
1699208133.15,32.869808,-117.214293,16.88
1699208133.2,32.869793,-117.214293,17.09
1699208133.26,32.869793,-117.214293,17.09
1699208133.31,32.869777,-117.214293,17.11
1699208133.37,32.86976,-117.214293,17.13
1699208133.42,32.86976,-117.214293,17.13
1699208133.47,32.869745,-117.214293,17.23
1699208133.52,32.869745,-117.214293,17.23
1699208133.58,32.869728,-117.214293,17.23
